wariant,MAE_test,RMSE_test,R2_test,RMSE_CV_mean,RMSE_CV_std
k-NN (n_neighbors=3),1.9073333333333335,2.5443575919189416,0.8859923440535884,3.000238487870528,0.5293077509589904
k-NN (n_neighbors=5),2.0194,2.572272924866255,0.8834769583482643,2.9638436080983803,0.4994053080125224
k-NN (n_neighbors=15),2.0555333333333334,2.727727340561084,0.8689673171269556,3.1789987823642982,0.43663470003681415
Drzewo (max_depth=3),2.683706379585327,3.6419076699766597,0.7664200385788928,3.6920844098835652,0.429346328779848
Drzewo (max_depth=5),2.176144613623924,3.2895119841511775,0.8094360853971385,3.844316330735692,0.5728830118982339
Drzewo (max_depth=None),2.2739999999999996,3.4440963981863226,0.7911048692370511,3.9431206073052953,0.6149494702232559
Random Forest (n_estimators=10),1.8066000000000002,2.4261953754798893,0.8963356900971049,2.820311241367493,0.4437372161606727
Random Forest (n_estimators=300),1.6809733333333314,2.424770738761821,0.8964573955660733,2.7780391967975406,0.4521328285432212
