model,MAE_test,RMSE_test,R2_test,RMSE_CV_mean,RMSE_CV_std
SVR RBF,1.7489334184701977,2.2903025446185934,0.9076230900198853,2.5972604649739863,0.5255859714634785
Random Forest,1.680973333333332,2.424770738761821,0.8964573955660733,2.7780391967975406,0.452132828543221
k-NN,2.0194,2.572272924866255,0.8834769583482643,2.9638436080983803,0.4994053080125224
Gradient Boosting,1.9236291704150636,2.6132896051473313,0.8797312487593918,2.8043325012480707,0.460764329829421
Regresja liniowa,2.110273486794706,2.7042299065285675,0.8712151007457252,3.1982066708294012,0.37608235055362926
Ridge,2.1278655255699612,2.7056506025622813,0.8710797481588559,3.1827659189026223,0.3779184059750585
Lasso,2.127385442525408,2.7142330360530886,0.870260570444388,3.190380048318464,0.37782307535943166
Drzewo decyzyjne,2.176144613623924,3.2895119841511775,0.8094360853971385,3.844316330735692,0.5728830118982339
